country,year,population,wind_electricity,hydro_electricity,nuclear_electricity
United States,1970,200328336.0,,253.492,22.952
United States,1971,202907920.0,,272.254,40.11
United States,1972,205238384.0,,278.716,56.938
United States,1973,207314768.0,,278.213,87.873
United States,1974,209277968.0,,307.285,119.974
United States,1975,211274544.0,,306.215,181.584
United States,1976,213270032.0,,289.822,201.162
United States,1977,215437408.0,,225.857,264.088
United States,1978,217881440.0,,286.329,290.951
United States,1979,220463104.0,,285.935,268.584
United States,1980,223140016.0,,282.002,264.332
United States,1981,225654000.0,,266.51,287.025
United States,1982,228001424.0,,315.529,297.656
United States,1983,230389968.0,0.003,338.678,309.134
United States,1984,232766288.0,0.007,327.587,344.877
United States,1985,235146176.0,0.006,287.182,403.885
United States,1986,237512784.0,0.004,296.975,435.83
United States,1987,239853168.0,0.004,255.41,479.232
United States,1988,242287808.0,0.001,228.385,554.708
United States,1989,244954096.0,2.133,274.724,557.216
United States,1990,248083728.0,2.817,292.281,607.223
United States,1991,251560192.0,2.981,287.326,644.805
United States,1992,255175328.0,2.917,251.426,651.343
United States,1993,258779760.0,3.036,279.251,642.412
United States,1994,262273584.0,3.482,259.341,674.147
United States,1995,265660560.0,3.196,311.22,708.844
United States,1996,268984352.0,3.267,347.549,710.241
United States,1997,272395424.0,3.321,355.973,661.731
United States,1998,275835008.0,3.056,322.089,709.16
United States,1999,279181568.0,4.533,316.605,766.583
United States,2000,282398560.0,5.59,270.03,753.89
United States,2001,285470496.0,6.74,208.14,768.83
United States,2002,288350240.0,10.35,255.59,780.06
United States,2003,291109824.0,11.19,267.27,763.73
United States,2004,293947872.0,14.14,259.93,788.53
United States,2005,296842656.0,17.81,263.76,781.99
United States,2006,299753088.0,26.59,282.69,787.22
United States,2007,302743392.0,34.45,240.61,806.42
United States,2008,305694912.0,55.36,248.54,806.21
United States,2009,308512032.0,73.89,268.82,798.85
United States,2010,311182848.0,94.65,254.7,806.97
United States,2011,313876608.0,120.18,312.93,790.2
United States,2012,316651328.0,140.82,271.29,769.33
United States,2013,319375168.0,167.84,263.88,789.02
United States,2014,322033952.0,181.65,253.19,797.17
United States,2015,324607776.0,190.72,243.99,797.18
United States,2016,327210208.0,226.99,261.13,805.69
United States,2017,329791232.0,254.3,293.84,804.95
United States,2018,332140032.0,272.67,286.62,807.08
United States,2019,334319680.0,295.88,282.61,809.41
United States,2020,335942016.0,337.94,279.95,789.88
United States,2021,336997632.0,378.2,246.47,779.65
United States,2022,338289856.0,434.3,248.76,771.54
United States,2023,339996576.0,425.23,233.96,775.35
